Name,Team,G,M0-19,A0-19,M20-29,A20-29,M30-39,A30-39,M40-49 ,A40-49 ,M50+ ,A50+ ,FGM ,FGA ,Pct ,Lng ,XPM ,XPA ,Pct ,Pts 
 Stephen Gostkowski,NWE,16,1,1,11,11,11,11,12,13,1,1,35,37,94.6,53,51,51,100,156
 Dan Carpenter,BUF,16,0,0,9,11,12,13,7,8,6,8,34,38,89.5,58,31,32,96.9,133
 Nick Folk,NYJ,16,0,0,13,13,7,7,9,13,3,6,32,39,82.1,55,23,23,100,119
 Cody Parkey,PHI,16,0,0,10,10,14,16,4,6,4,4,32,36,88.9,54,54,54,100,150
 Steven Hauschka,SEA,16,0,0,10,10,10,10,9,13,2,4,31,37,83.8,58,41,41,100,134
 Randy Bullock,HOU,16,0,0,6,7,13,15,7,8,4,5,30,35,85.7,55,40,40,100,130
 Adam Vinatieri,IND,16,0,0,10,10,10,10,7,8,3,3,30,31,96.8,53,50,50,100,140
 Shaun Suisham,PIT,16,0,0,12,13,6,6,10,10,1,3,29,32,90.6,53,45,45,100,132
 Chandler Catanzaro,ARI,16,0,0,5,5,12,14,10,11,2,3,29,33,87.9,51,27,27,100,114
 Graham Gano,CAR,16,0,0,7,7,12,13,9,12,1,3,29,35,82.9,53,34,34,100,121
 Caleb Sturgis,MIA,16,1,1,12,12,7,8,6,10,3,6,29,37,78.4,53,41,41,100,128
 Matt Bryant,ATL,16,0,0,10,10,4,4,8,8,7,10,29,32,90.6,54,40,40,100,127
 Justin Tucker,BAL,16,0,0,10,10,11,11,4,4,4,9,29,34,85.3,55,42,42,100,129
 Mason Crosby,GNB,16,0,0,7,7,11,12,5,7,4,7,27,33,81.8,55,53,55,96.4,134
 Mike Nugent,CIN,16,0,0,6,6,10,12,10,12,0,3,26,33,78.8,49,39,39,100,117
 Blair Walsh,MIN,16,2,2,4,5,8,10,7,9,5,9,26,35,74.3,55,29,29,100,107
 Dan Bailey,DAL,16,0,0,6,6,7,7,8,9,5,7,25,29,86.2,56,56,56,100,131
 Phil Dawson,SFO,16,0,0,6,6,8,9,5,7,6,9,25,31,80.6,55,33,33,100,108
 Cairo Santos,KAN,16,1,1,10,10,6,7,7,10,1,2,25,30,83.3,53,38,38,100,113
 Greg Zuerlein,STL,16,1,1,6,7,10,12,2,3,5,7,24,30,80,56,34,35,97.1,106
 Josh Brown,NYG,16,1,1,6,7,9,9,4,5,4,4,24,26,92.3,53,44,44,100,116
 Kai Forbath,WAS,16,0,0,11,11,6,7,7,8,0,1,24,27,88.9,49,31,32,96.9,103
 Nick Novak,SDG,16,1,1,6,6,8,9,4,6,3,4,22,26,84.6,52,40,40,100,106
 Billy Cundiff,CLE,13,0,0,6,6,10,13,5,7,1,3,22,29,75.9,52,28,28,100,94
 Matt Prater,DET,11,0,0,8,8,4,5,6,8,3,5,21,26,80.8,52,21,21,100,84
 Patrick Murray,TAM,16,0,0,2,3,6,8,6,7,5,6,20,24,83.3,55,31,31,100,91
 Josh Scobee,JAC,16,0,0,3,3,7,8,7,9,3,6,20,26,76.9,53,23,23,100,83
 Shayne Graham,NOR,16,0,0,6,6,9,9,3,5,1,2,19,22,86.4,50,46,47,97.9,103
 Ryan Succop,TEN,16,0,0,5,5,7,7,5,8,2,2,19,22,86.4,51,27,27,100,84
 Sebastian Janikowski,OAK,16,0,0,2,2,5,5,9,10,3,5,19,22,86.4,57,28,28,100,85
 Connor Barth,DEN,5,2,2,4,4,5,5,3,4,1,1,15,16,93.8,50,15,15,100,60
 Robbie Gould,CHI,12,0,0,4,4,2,3,3,4,0,1,9,12,75,45,28,29,96.6,55
 Brandon McManus,DEN,15,0,0,5,5,3,3,2,3,0,2,9,13,69.2,44,41,41,100,68
 Garrett Hartley,CLE,2,0,0,0,0,2,3,1,1,0,0,3,3,100,43,2,2,100,11
 Nate Freese,DET,3,0,0,2,2,1,1,0,4,0,0,3,7,42.9,30,6,6,100,15
 Jay Feely,CHI,4,0,0,1,1,1,1,1,2,0,0,3,4,75,48,5,6,83.3,14
 Alex Henery,DET,2,0,0,0,0,0,0,0,2,1,3,1,5,20,51,5,5,100,8
